Sat.UTCGregorian           Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.Earth.RadApo          Sat.Earth.RadPer          Sat.Earth.Energy          Sat.Earth.SMA             Sat.Earth.SemilatusRectum   Sat.Earth.HMAG            Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      
13 Sep 2024 11:29:10.811   60339.78352496152         -60624.87469585268        55567.39234724753         102000                    18000                     -3.321670345833334        60000                     30599.99999999999           110440.8145112123         0.1235197033487428        0.7910542254079151        0.7289240941653694        
13 Sep 2024 11:29:11.811   60339.90703333331         -60624.08363024167        55568.12126089891         102000.0000000034         17999.99964148434         -3.321670355757163        59999.99982074388         30599.99948194501           110440.8135763362         0.1234970402172005        0.7910769965692083        0.7289032085555651        
13 Sep 2024 11:29:14.820   60340.2785693249          -60621.70294575807        55570.31464864888         102000.0000000551         17999.99856265588         -3.321670385618337        59999.99928135548         30599.9979230402            110440.8107631545         0.1234288399649929        0.7911455198425185        0.7288403560137342        
13 Sep 2024 11:29:23.286   60341.3226697714          -60615.00452254961        55576.48405011086         102000.0000005332         17999.99552810724         -3.321670469603193        59999.9977643202          30599.99353813871           110440.8028502113         0.1232369774542532        0.7913382743905724        0.7286635265892966        
13 Sep 2024 11:29:48.196   60344.38547614014         -60595.2851916446         55594.62860596611         102000.0000047887         17999.98660248679         -3.32167071655184         59999.99330363775         30599.98064080675           110440.7795758298         0.1226724096021024        0.791905324257126         0.7281430985861589        
13 Sep 2024 11:31:01.065   60353.26430235388         -60537.51951735723        55647.63209495192         102000.0000416642         17999.96052193626         -3.32167143745635         59999.98028180022         30599.94295605401           110440.711570317          0.1210207220730432        0.7935630488119664        0.7266197231232456        
13 Sep 2024 11:34:40.186   60379.23819089253         -60363.08789788364        55806.347059454           102000.0003722287         17999.8823609281          -3.321673591851469        59999.9413665784          30599.83002812457           110440.5077814993         0.1160524704280588        0.7985384666718027        0.722030046855239         
13 Sep 2024 11:45:41.990   60451.07318864724         -59829.66077329211        56279.58228738882         102000.0033813204         17999.64872201222         -3.321679975844948        59999.82605166631         30599.49255397611           110439.8987761708         0.1010321737156444        0.8134802692823143        0.7080869925977247        
13 Sep 2024 12:16:32.231   60599.06446980831         -58286.34460306173        57553.1897308153          102000.0280218679         17999.01523835257         -3.321696829162434        59999.52163011022         30598.57826860839           110438.2488413304         0.05890069701136125       0.8545924950849906        0.6684403619781057        
13 Sep 2024 13:01:32.231   60674.60602159509         -55899.76678191924        59277.87272192841         102000.1078107581         17998.14451236511         -3.321718723258366        59999.12616156159         30597.32362953909           110435.9846583199         -0.00304947650178859      0.9129238033689738        0.6087198733670556        
13 Sep 2024 13:46:32.231   60581.93818640873         -53358.22050679088        60838.10715222803         102000.241046948          17997.33967992136         -3.321737314081926        59998.79036343466         30596.16659662757           110433.8965790092         -0.06573237411482069      0.9694047981326023        0.5465871575398599        
13 Sep 2024 14:31:32.231   60318.80544472129         -50666.54527349967        62227.04300684453         102000.4292126724         17996.60255770425         -3.321752510201686        59998.51588518832         30595.10986519046           110431.9894777139         -0.1293555050587133       1.024146632454631         0.4817859351816963        
13 Sep 2024 15:16:32.231   59882.37241046219         -47829.31844075922        63437.08152278465         102000.6737191567         17995.93434610798         -3.321764239229214        59998.30403263232         30594.15523662747           110430.2666149061         -0.1941415599893162       1.077232206466679         0.4140167077119296        
13 Sep 2024 16:01:32.231   59269.17713088572         -44850.93312816406        64459.74830228657         102000.9759547211         17995.33566834704         -3.321772445407171        59998.15581153407         30593.30367703298           110428.7297428025         -0.2603327550145364       1.128714731507349         0.3429288625372315        
13 Sep 2024 16:46:32.231   58475.07163641342         -41735.68206906363        65285.54208445601         102001.3373233327         17994.80660385115         -3.321777087619408        59998.07196359192         30592.55536713533           110427.3791953487         -0.3281959696361931       1.178614698188612         0.2681104389312807        
13 Sep 2024 17:31:32.231   57495.14726533968         -38487.85227304541        65903.75196360216         102001.759273883          17994.34671531866         -3.321778137832819        59998.05299460085         30591.90974266934           110426.2139609801         -0.3980289351637581       1.226914810239101         0.1890748508821908        
13 Sep 2024 18:16:32.231   56323.64149639601         -35111.83685287392        66302.23357147499         102002.243319781          17993.95506879627         -3.321775579999906        59998.09919428862         30591.36552424783           110425.2317364698         -0.4701678077032846       1.273552194608064         0.1052435706347507        
13 Sep 2024 19:01:32.231   54953.8219842546          -31612.27270889698        66467.13151384391         102002.7910475066         17993.63024608184         -3.321769409479028        59998.21064679424         30590.92073565442           110424.4289599152         -0.5449965659477737       1.318406818158908         0.01592335194405362       
13 Sep 2024 19:46:32.231   53377.84211932122         -27994.21639313497        66382.53072198706         102003.404111424          17993.37034861236         -3.321759633070385        59998.38723001817         30590.57270922355           110423.8008204497         -0.6229588184366031       1.361284446735537         -0.07972405780362833      
13 Sep 2024 20:31:32.231   51586.56060475951         -24263.37615627598        66030.01264601928         102004.0842101212         17993.17299178706         -3.321746269827751        59998.62860095414         30590.31807657581           110423.3412415534         -0.7045727993147439       1.401891524735095         -0.182722720862368        
13 Sep 2024 21:16:32.231   49569.3151104351          -20426.42721797021        65388.08226381728         102004.8330363955         17993.03528837816         -3.321729352901417        59998.93416238685         30590.15274240622           110423.0428338015         -0.7904505867067554       1.439797766215856         -0.2943383051561023       
13 Sep 2024 22:01:32.231   47313.63685624161         -16491.45198918664        64431.4168951922          102005.6521879292         17992.95381928105         -3.321708932819184        59999.30300360512         30590.07183821409           110422.8968114351         -0.8813228943231639       1.474379539490411         -0.4161556751514362       
13 Sep 2024 22:46:32.231   44804.8888664066          -12468.57147668057        63129.86479367586         102006.5430173088         17992.92458933367         -3.321685082858949        59999.73380332125         30590.06965173338           110422.8928650969         -0.9780711274784827       1.504732353366919         -0.5501888295783386       
13 Sep 2024 23:31:32.231   42025.80572425595         -8370.876223750443        61447.08535552192         102007.5063857091         17992.94296528839         -3.321657907580883        60000.22467549874         30590.13952624164           110423.0189802222         -1.08176860355815         1.529532040166972         -0.6990399236127313       
14 Sep 2024 00:16:32.231   38955.90785477951         -4215.840123443139        59338.66475862014         102008.5422593076         17993.0035922803          -3.321627556306397        60000.77292579396         30590.27372172325           110423.2611866029         -1.193732409538873        1.546807689624341         -0.8661345411170639       
14 Sep 2024 01:01:32.231   35570.76208172121         -27.53932780284123        56749.4455136899          102009.6490414199         17993.10028446681         -3.321594244624651        60001.37466294336         30590.46322682192           110423.6032191521         -1.315584776234885        1.553556559761384         -1.056078294078913        
14 Sep 2024 01:46:22.201   31855.60742052045         4144.234903609613         53622.43458252618         102010.8179727306         17993.22537518046         -3.321558427363927        60002.02167395553         30590.69656792197           110424.0243686411         -1.448791905490085        1.545130638271347         -1.274332833406001        
