Time - Sim theta,Amplitude - Sim theta,Time - encoder theta,Amplitude - encoder theta,Time - reference input,Amplitude - reference input
0,0,0,0,0,0
1,0.000831251,1,0,1,0.012565
2,0.00299017,2,0,2,0.0251222
3,0.00670067,3,0,3,0.0376634
4,0.0119983,4,0.00153398,4,0.0501809
5,0.0187935,5,0.00613592,5,0.0626666
6,0.0269194,6,0.00920388,6,0.0751128
7,0.0361812,7,0.0153398,7,0.0875115
8,0.0463686,8,0.0214757,8,0.099855
9,0.0572822,9,0.0322136,9,0.112135
10,0.0687331,10,0.0414175,10,0.124345
11,0.0805637,11,0.0506214,11,0.136476
12,0.092643,12,0.0628932,12,0.148521
13,0.10486,13,0.0736311,13,0.160472
14,0.11713,14,0.0859029,14,0.172321
15,0.129388,15,0.0981748,15,0.184062
16,0.141585,16,0.111981,16,0.195687
17,0.153684,17,0.124252,17,0.207188
18,0.165662,18,0.136524,18,0.218558
19,0.177504,19,0.148796,19,0.22979
20,0.189202,20,0.162602,20,0.240877
21,0.200745,21,0.17334,21,0.251812
22,0.212134,22,0.185612,22,0.262587
23,0.223365,23,0.197884,23,0.273197
24,0.234436,24,0.208621,24,0.283634
25,0.245346,25,0.220893,25,0.293893
26,0.256091,26,0.231631,26,0.303965
27,0.26667,27,0.243903,27,0.313846
28,0.277077,28,0.254641,28,0.323528
29,0.287308,29,0.265379,29,0.333006
30,0.29736,30,0.276117,30,0.342274
31,0.307228,31,0.286854,31,0.351325
32,0.316905,32,0.296058,32,0.360155
33,0.326389,33,0.305262,33,0.368757
34,0.335675,34,0.314466,34,0.377126
35,0.344756,35,0.32367,35,0.385257
36,0.353627,36,0.332874,36,0.393144
37,0.36228,37,0.342078,37,0.400783
38,0.370709,38,0.349748,38,0.40817
39,0.378909,39,0.358952,39,0.415298
40,0.386873,40,0.366621,40,0.422164
41,0.394596,41,0.374291,41,0.428763
42,0.402073,42,0.383495,42,0.435092
43,0.409296,43,0.391165,43,0.441146
44,0.416261,44,0.397301,44,0.446921
45,0.422966,45,0.403437,45,0.452414
46,0.429408,46,0.411107,46,0.457621
47,0.435579,47,0.417243,47,0.462539
48,0.441477,48,0.423379,48,0.467164
49,0.447098,49,0.427981,49,0.471495
50,0.45244,50,0.434117,50,0.475528
51,0.457498,51,0.440252,51,0.479261
52,0.462266,52,0.446388,52,0.482691
53,0.46674,53,0.45099,53,0.485816
54,0.470919,54,0.455592,54,0.488634
55,0.474799,55,0.460194,55,0.491144
56,0.47838,56,0.464796,56,0.493343
57,0.481658,57,0.467864,57,0.495231
