Time - Plot 0,Amplitude - Plot 0,Time - vactual,Amplitude - vactual
0,5.15915,0,5.31332
1,4.9622,1,5.2838
2,4.39878,2,5.04423
3,3.73886,3,4.51947
4,3.05784,4,3.8865
5,2.41188,5,3.22602
6,1.83315,6,2.53872
7,1.33593,7,1.96726
8,0.928086,8,1.43208
9,0.603267,9,0.9644
10,0.354398,10,0.642746
11,0.173573,11,0.38719
12,0.0471604,12,0.212945
13,-0.0351042,13,0.0719291
14,-0.0844779,14,0.0111833
15,-0.107946,15,-0.0330722
16,-0.114573,16,-0.0611169
17,-0.109962,17,-0.0573422
18,-0.0979556,18,-0.0536023
19,-0.0827663,19,-0.0499908
20,-0.0666361,20,-0.046567
21,-0.0510464,21,-0.0433641
22,-0.0368969,22,-0.0403956
23,-0.0246589,23,-0.0376617
24,-0.0145001,24,-0.0351534
25,-0.00638461,25,-0.032856
26,-0.000150356,26,-0.0307522
27,0.00443411,27,-0.0288235
28,0.0076284,28,-0.0270516
29,0.0096925,29,-0.0254193
30,0.0108691,30,-0.0239112
31,0.0113734,31,-0.0225133
32,0.0113889,32,-0.0212136
33,0.0110664,33,-0.0200016
34,0.0105256,34,-0.0188687
35,0.00985875,35,-0.0178072
36,0.00913413,36,-0.0168109
37,0.00840026,37,-0.0158744
38,0.00768977,38,-0.0149932
39,0.00702297,39,-0.0141634
40,0.00641091,40,-0.0133815
41,0.00585799,41,-0.0126446
42,0.005364,42,-0.01195
43,0.00492577,43,-0.0112953
44,0.00453845,44,-0.0106781
45,0.00419635,45,-0.0100965
46,0.00389359,46,-0.00954852
47,0.00362455,47,-0.00903227
48,0.00338408,48,-0.00854601
49,0.00316762,49,-0.00808811
50,0.00297129,50,-0.00765698
51,0.00279185,51,-0.00725111
52,0.00262663,52,-0.00686908
53,0.0024735,53,-0.00650952
54,0.00233076,54,-0.00617114
55,0.0021971,55,-0.00585272
56,0.00207147,56,-0.0055531
57,0.00195309,57,-0.00527117
58,0.00184132,58,-0.00500589
59,0.00173569,59,-0.00475628
60,0.00163579,60,-0.00452143
61,0.0015413,61,-0.00430045
62,0.00145194,62,-0.00409253
63,0.00136747,63,-0.00389689
64,0.00128766,64,-0.0037128
65,0.0012123,65,-0.00353959
66,0.00114117,66,-0.0033766
67,0.00107408,67,-0.00322324
68,0.00101083,68,-0.00307893
69,0.000951228,69,-0.00294313
70,0.00089509,70,-0.00281535
71,0.00084223,71,-0.00269511
72,0.00079247,72,-0.00258196
73,0.00074564,73,-0.00247549
74,0.000701573,74,-0.0023753
75,0.000660111,75,-0.00228102
76,0.000621103,76,-0.00219231
77,0.000584406,77,-0.00210883
78,0.000549883,78,-0.00203027
79,0.000517405,79,-0.00195635
80,0.000486852,80,-0.00188679
81,0.000458108,81,-0.00182133
82,0.000431065,82,-0.00175974
83,0.000405622,83,-0.00170178
84,0.000381684,84,-0.00164723
85,0.000359161,85,-0.00159591
86,0.000337968,86,-0.00154762
87,0.000318027,87,-0.00150217
88,0.000299264,88,-0.00145941
89,0.000281608,89,-0.00141916
90,0.000264994,90,-0.0013813
91,0.00024936,91,-0.00134566
92,0.000234649,92,-0.00131213
93,0.000220806,93,-0.00128058
94,0.000207779,94,-0.00125089
95,0.00019552,95,-0.00122295
96,0.000183985,96,-0.00119666
97,0.00017313,97,-0.00117192
98,0.000162916,98,-0.00114864
99,0.000153304,99,-0.00112674
100,0.000144259,100,-0.00110613
101,0.000135747,101,-0.00108673
102,0.000127738,102,-0.00106848
103,0.000120202,103,-0.0010513
104,0.000113109,104,-0.00103514
105,0.000106436,105,-0.00101993
106,0.000100156,106,-0.00100562
107,9.42E-05,107,-0.00099215
108,8.87E-05,108,-0.000979478
109,8.35E-05,109,-0.000967553
110,7.85E-05,110,-0.000956332
111,7.39E-05,111,-0.000945773
112,6.95E-05,112,-0.000935837
113,6.54E-05,113,-0.000926487
114,6.16E-05,114,-0.000917688
115,5.79E-05,115,-0.000909409
116,5.45E-05,116,-0.000901619
117,5.13E-05,117,-0.000894288
118,4.83E-05,118,-0.000887389
119,4.54E-05,119,-0.000880898
120,4.27E-05,120,-0.00087479
121,4.02E-05,121,-0.000869042
122,3.79E-05,122,-0.000863633
123,3.56E-05,123,-0.000858543
124,3.35E-05,124,-0.000853754
125,3.15E-05,125,-0.000849247
126,2.97E-05,126,-0.000845006
127,2.79E-05,127,-0.000841015
128,2.63E-05,128,-0.00083726
129,2.47E-05,129,-0.000833726
130,2.33E-05,130,-0.000830401
131,2.19E-05,131,-0.000827272
132,2.06E-05,132,-0.000824328
133,1.94E-05,133,-0.000821557
134,1.82E-05,134,-0.00081895
135,1.72E-05,135,-0.000816496
136,1.62E-05,136,-0.000814188
137,1.52E-05,137,-0.000812015
138,1.43E-05,138,-0.000809971
139,1.35E-05,139,-0.000808048
140,1.27E-05,140,-0.000806237
141,1.19E-05,141,-0.000804534
142,1.12E-05,142,-0.000802931
143,1.06E-05,143,-0.000801423
144,9.93E-06,144,-0.000800004
145,9.35E-06,145,-0.000798668
146,8.79E-06,146,-0.000797412
147,8.28E-06,147,-0.000796229
148,7.79E-06,148,-0.000795116
149,7.33E-06,149,-0.000794069
150,6.90E-06,150,-0.000793084
151,6.49E-06,151,-0.000792157
152,6.11E-06,152,-0.000791284
153,5.75E-06,153,-0.000790463
154,5.41E-06,154,-0.00078969
155,5.09E-06,155,-0.000788963
156,4.79E-06,156,-0.000788279
157,4.51E-06,157,-0.000787635
158,4.24E-06,158,-0.00078703
159,3.99E-06,159,-0.00078646
160,3.75E-06,160,-0.000785923
161,3.53E-06,161,-0.000785419
162,3.32E-06,162,-0.000784944
163,3.13E-06,163,-0.000784497
164,2.94E-06,164,-0.000784076
165,2.77E-06,165,-0.00078368
166,2.61E-06,166,-0.000783308
167,2.45E-06,167,-0.000782957
168,2.31E-06,168,-0.000782628
169,2.17E-06,169,-0.000782317
170,2.04E-06,170,-0.000782025
171,1.92E-06,171,-0.000781751
172,1.81E-06,172,-0.000781492
173,1.70E-06,173,-0.000781249
174,1.60E-06,174,-0.00078102
175,1.51E-06,175,-0.000780804
176,1.42E-06,176,-0.000780602
177,1.34E-06,177,-0.000780411
178,1.26E-06,178,-0.000780231
179,1.18E-06,179,-0.000780063
180,1.11E-06,180,-0.000779904
181,1.05E-06,181,-0.000779754
182,9.85E-07,182,-0.000779613
183,9.27E-07,183,-0.000779481
184,8.72E-07,184,-0.000779356
185,8.21E-07,185,-0.000779239
