Time - Sim theta,Amplitude - Sim theta,Time - encoder theta,Amplitude - encoder theta,Time - reference input,Amplitude - reference input
0,0.0330779,0,0,0,0.5
1,0.0859306,1,0.0107379,1,0.5
2,0.147726,2,0.0490874,2,0.5
3,0.210945,3,0.105845,3,0.5
4,0.270693,4,0.168738,4,0.5
5,0.324093,5,0.231631,5,0.5
6,0.369757,6,0.291456,6,0.5
7,0.407335,7,0.343612,7,0.5
8,0.437169,8,0.386563,8,0.5
9,0.460021,9,0.421845,9,0.5
10,0.476859,10,0.449456,10,0.5
11,0.488721,11,0.469398,11,0.5
12,0.496613,12,0.483204,12,0.5
13,0.501454,13,0.492408,13,0.5
14,0.504042,14,0.49701,14,0.5
15,0.50504,15,0.500078,15,0.5
16,0.504978,16,0.500078,16,0.5
17,0.504271,17,0.500078,17,0.5
18,0.50322,18,0.500078,18,0.5
19,0.502042,19,0.500078,19,0.5
20,0.500878,20,0.500078,20,0.5
21,0.499818,21,0.500078,21,0.5
22,0.498911,22,0.500078,22,0.5
23,0.498176,23,0.500078,23,0.5
24,0.497613,24,0.500078,24,0.5
25,0.49721,25,0.500078,25,0.5
26,0.496948,26,0.500078,26,0.5
27,0.496803,27,0.500078,27,0.5
28,0.496754,28,0.500078,28,0.5
29,0.496779,29,0.500078,29,0.5
30,0.496859,30,0.500078,30,0.5
31,0.496977,31,0.500078,31,0.5
32,0.49712,32,0.500078,32,0.5
33,0.497277,33,0.500078,33,0.5
34,0.497439,34,0.500078,34,0.5
35,0.497602,35,0.500078,35,0.5
36,0.497761,36,0.500078,36,0.5
37,0.497912,37,0.500078,37,0.5
38,0.498054,38,0.500078,38,0.5
39,0.498187,39,0.500078,39,0.5
40,0.49831,40,0.500078,40,0.5
41,0.498423,41,0.500078,41,0.5
42,0.498528,42,0.500078,42,0.5
43,0.498623,43,0.500078,43,0.5
44,0.498712,44,0.500078,44,0.5
45,0.498793,45,0.500078,45,0.5
46,0.498868,46,0.500078,46,0.5
47,0.498937,47,0.500078,47,0.5
48,0.499001,48,0.500078,48,0.5
49,0.499061,49,0.500078,49,0.5
50,0.499117,50,0.500078,50,0.5
51,0.499169,51,0.500078,51,0.5
52,0.499218,52,0.500078,52,0.5
53,0.499264,53,0.500078,53,0.5
54,0.499307,54,0.500078,54,0.5
55,0.499348,55,0.500078,55,0.5
56,0.499386,56,0.500078,56,0.5
57,0.499422,57,0.500078,57,0.5
58,0.499456,58,0.500078,58,0.5
59,0.499487,59,0.500078,59,0.5
60,0.499518,60,0.500078,60,0.5
61,0.499546,61,0.500078,61,0.5
62,0.499573,62,0.500078,62,0.5
63,0.499598,63,0.500078,63,0.5
64,0.499621,64,0.500078,64,0.5
65,0.499644,65,0.500078,65,0.5
66,0.499665,66,0.500078,66,0.5
67,0.499684,67,0.500078,67,0.5
68,0.499703,68,0.500078,68,0.5
69,0.499721,69,0.500078,69,0.5
70,0.499737,70,0.500078,70,0.5
71,0.499753,71,0.500078,71,0.5
72,0.499767,72,0.500078,72,0.5
73,0.499781,73,0.500078,73,0.5
74,0.499794,74,0.500078,74,0.5
75,0.499806,75,0.500078,75,0.5
76,0.499817,76,0.500078,76,0.5
77,0.499828,77,0.500078,77,0.5
78,0.499838,78,0.500078,78,0.5
79,0.499848,79,0.500078,79,0.5
80,0.499857,80,0.500078,80,0.5
81,0.499865,81,0.500078,81,0.5
82,0.499873,82,0.500078,82,0.5
83,0.499881,83,0.500078,83,0.5
84,0.499888,84,0.500078,84,0.5
85,0.499894,85,0.500078,85,0.5
86,0.499901,86,0.500078,86,0.5
87,0.499907,87,0.500078,87,0.5
88,0.499912,88,0.500078,88,0.5
89,0.499917,89,0.500078,89,0.5
90,0.499922,90,0.500078,90,0.5
91,0.499927,91,0.500078,91,0.5
92,0.499931,92,0.500078,92,0.5
93,0.499935,93,0.500078,93,0.5
94,0.499939,94,0.500078,94,0.5
95,0.499943,95,0.500078,95,0.5
96,0.499946,96,0.500078,96,0.5
97,0.499949,97,0.500078,97,0.5
98,0.499952,98,0.500078,98,0.5
99,0.499955,99,0.500078,99,0.5
100,0.499958,100,0.500078,100,0.5
101,0.49996,101,0.500078,101,0.5
102,0.499962,102,0.500078,102,0.5
103,0.499965,103,0.500078,103,0.5
104,0.499967,104,0.500078,104,0.5
105,0.499969,105,0.500078,105,0.5
106,0.499971,106,0.500078,106,0.5
107,0.499972,107,0.500078,107,0.5
108,0.499974,108,0.500078,108,0.5
109,0.499975,109,0.500078,109,0.5
110,0.499977,110,0.500078,110,0.5
111,0.499978,111,0.500078,111,0.5
112,0.49998,112,0.500078,112,0.5
113,0.499981,113,0.500078,113,0.5
114,0.499982,114,0.500078,114,0.5
115,0.499983,115,0.500078,115,0.5
116,0.499984,116,0.500078,116,0.5
