Time - Sim theta,Amplitude - Sim theta,Time - encoder theta,Amplitude - encoder theta,Time - reference input,Amplitude - reference input
0,0.0330779,0,0,0,0.5
1,0.0859306,1,0.0122718,1,0.5
2,0.147723,2,0.0536893,2,0.5
3,0.210932,3,0.110447,3,0.5
4,0.270665,4,0.171806,4,0.5
5,0.324054,5,0.237767,5,0.5
6,0.369702,6,0.29299,6,0.5
7,0.407272,7,0.343612,7,0.5
8,0.437109,8,0.386563,8,0.5
9,0.459968,9,0.426447,9,0.5
10,0.476807,10,0.45099,10,0.5
11,0.488672,11,0.469398,11,0.5
12,0.496572,12,0.483204,12,0.5
13,0.501423,13,0.492408,13,0.5
14,0.504021,14,0.49701,14,0.5
15,0.505029,15,0.498544,15,0.5
16,0.50498,16,0.498544,16,0.5
17,0.504284,17,0.498544,17,0.5
18,0.503245,18,0.498544,18,0.5
19,0.502076,19,0.498544,19,0.5
20,0.50092,20,0.498544,20,0.5
21,0.499866,21,0.498544,21,0.5
22,0.498962,22,0.498544,22,0.5
23,0.498229,23,0.498544,23,0.5
24,0.497667,24,0.498544,24,0.5
25,0.497264,25,0.498544,25,0.5
26,0.497,26,0.498544,26,0.5
27,0.496854,27,0.498544,27,0.5
28,0.496803,28,0.498544,28,0.5
29,0.496826,29,0.498544,29,0.5
30,0.496903,30,0.498544,30,0.5
31,0.497018,31,0.498544,31,0.5
32,0.497158,32,0.498544,32,0.5
33,0.497313,33,0.498544,33,0.5
34,0.497473,34,0.498544,34,0.5
35,0.497634,35,0.498544,35,0.5
36,0.49779,36,0.498544,36,0.5
37,0.497939,37,0.498544,37,0.5
38,0.49808,38,0.498544,38,0.5
39,0.498211,39,0.498544,39,0.5
40,0.498333,40,0.498544,40,0.5
41,0.498444,41,0.498544,41,0.5
42,0.498547,42,0.498544,42,0.5
43,0.498642,43,0.498544,43,0.5
44,0.498729,44,0.498544,44,0.5
45,0.498809,45,0.498544,45,0.5
46,0.498883,46,0.498544,46,0.5
47,0.498952,47,0.498544,47,0.5
48,0.499015,48,0.498544,48,0.5
49,0.499074,49,0.498544,49,0.5
50,0.499129,50,0.498544,50,0.5
51,0.499181,51,0.498544,51,0.5
52,0.499229,52,0.498544,52,0.5
53,0.499274,53,0.498544,53,0.5
54,0.499317,54,0.498544,54,0.5
55,0.499357,55,0.498544,55,0.5
56,0.499394,56,0.498544,56,0.5
57,0.49943,57,0.498544,57,0.5
58,0.499463,58,0.498544,58,0.5
59,0.499495,59,0.498544,59,0.5
60,0.499524,60,0.498544,60,0.5
61,0.499552,61,0.498544,61,0.5
62,0.499578,62,0.498544,62,0.5
63,0.499603,63,0.498544,63,0.5
64,0.499627,64,0.498544,64,0.5
65,0.499649,65,0.498544,65,0.5
66,0.499669,66,0.498544,66,0.5
67,0.499689,67,0.498544,67,0.5
68,0.499707,68,0.498544,68,0.5
69,0.499724,69,0.498544,69,0.5
70,0.499741,70,0.498544,70,0.5
71,0.499756,71,0.498544,71,0.5
72,0.49977,72,0.498544,72,0.5
73,0.499784,73,0.498544,73,0.5
74,0.499797,74,0.498544,74,0.5
75,0.499809,75,0.498544,75,0.5
76,0.49982,76,0.498544,76,0.5
77,0.499831,77,0.498544,77,0.5
78,0.499841,78,0.498544,78,0.5
79,0.49985,79,0.498544,79,0.5
80,0.499859,80,0.498544,80,0.5
81,0.499867,81,0.498544,81,0.5
82,0.499875,82,0.498544,82,0.5
83,0.499882,83,0.498544,83,0.5
84,0.499889,84,0.498544,84,0.5
85,0.499896,85,0.498544,85,0.5
86,0.499902,86,0.498544,86,0.5
87,0.499908,87,0.498544,87,0.5
88,0.499913,88,0.498544,88,0.5
89,0.499918,89,0.498544,89,0.5
90,0.499923,90,0.498544,90,0.5
91,0.499928,91,0.498544,91,0.5
92,0.499932,92,0.498544,92,0.5
93,0.499936,93,0.498544,93,0.5
94,0.49994,94,0.498544,94,0.5
95,0.499943,95,0.498544,95,0.5
96,0.499947,96,0.498544,96,0.5
97,0.49995,97,0.498544,97,0.5
98,0.499953,98,0.498544,98,0.5
99,0.499956,99,0.498544,99,0.5
100,0.499958,100,0.498544,100,0.5
101,0.499961,101,0.498544,101,0.5
102,0.499963,102,0.498544,102,0.5
103,0.499965,103,0.498544,103,0.5
104,0.499967,104,0.498544,104,0.5
105,0.499969,105,0.498544,105,0.5
106,0.499971,106,0.498544,106,0.5
107,0.499973,107,0.498544,107,0.5
108,0.499974,108,0.498544,108,0.5
109,0.499976,109,0.498544,109,0.5
110,0.499977,110,0.498544,110,0.5
111,0.499979,111,0.498544,111,0.5
112,0.49998,112,0.498544,112,0.5
113,0.499981,113,0.498544,113,0.5
114,0.499982,114,0.498544,114,0.5
115,0.499983,115,0.498544,115,0.5
116,0.499984,116,0.498544,116,0.5
117,0.499985,117,0.498544,117,0.5
118,0.499986,118,0.498544,118,0.5
119,0.499987,119,0.498544,119,0.5
120,0.499988,120,0.498544,120,0.5
121,0.499988,121,0.498544,121,0.5
122,0.499989,122,0.498544,122,0.5
123,0.49999,123,0.498544,123,0.5
124,0.49999,124,0.498544,124,0.5
125,0.433835,125,0.498544,125,-0.5
126,0.32813,126,0.46633,126,-0.5
127,0.20456,127,0.378893,127,-0.5
128,0.0781759,128,0.271515,128,-0.5
129,-0.0412632,129,0.141126,129,-0.5
130,-0.148003,130,0.0138058,130,-0.5
131,-0.239269,131,-0.125786,131,-0.5
132,-0.31433,132,-0.217825,132,-0.5
133,-0.373918,133,-0.303728,133,-0.5
134,-0.419557,134,-0.371223,134,-0.5
135,-0.453193,135,-0.423379,135,-0.5
136,-0.4769,136,-0.45866,136,-0.5
137,-0.492697,137,-0.484738,137,-0.5
138,-0.502413,138,-0.500078,138,-0.5
139,-0.507639,139,-0.509282,139,-0.5
140,-0.509693,140,-0.51235,140,-0.5
141,-0.509637,141,-0.51235,141,-0.5
142,-0.508287,142,-0.51235,142,-0.5
143,-0.506248,143,-0.510816,143,-0.5
144,-0.503948,144,-0.509282,144,-0.5
145,-0.501674,145,-0.507748,145,-0.5
146,-0.499605,146,-0.506214,146,-0.5
