Time - Sim theta,Amplitude - Sim theta,Time - encoder theta,Amplitude - encoder theta,Time - reference input,Amplitude - reference input
0,0.0172244,0,0,0,0.1
1,0.0441026,1,0.00920388,1,0.1
2,0.0721307,2,0.0322136,2,0.1
3,0.0955093,3,0.0582913,3,0.1
4,0.111362,4,0.0843689,4,0.1
5,0.119216,5,0.104311,5,0.1
6,0.120304,6,0.116583,6,0.1
7,0.116743,7,0.119651,7,0.1
8,0.110852,8,0.118117,8,0.1
9,0.104587,9,0.113515,9,0.1
10,0.0992972,10,0.108913,10,0.1
11,0.0956575,11,0.104311,11,0.1
12,0.0937997,12,0.0997088,12,0.1
13,0.0934902,13,0.0981748,13,0.1
14,0.094251,14,0.0966408,14,0.1
15,0.0955915,15,0.0966408,15,0.1
16,0.0970715,16,0.0966408,16,0.1
17,0.0983885,17,0.0966408,17,0.1
18,0.0993795,18,0.0966408,18,0.1
19,0.0999984,19,0.0966408,19,0.1
20,0.100281,20,0.0966408,20,0.1
21,0.100307,21,0.0966408,21,0.1
22,0.100173,22,0.0966408,22,0.1
23,0.0999661,23,0.0966408,23,0.1
24,0.0997547,24,0.0966408,24,0.1
25,0.099582,25,0.0966408,25,0.1
26,0.0994683,26,0.0966408,26,0.1
27,0.0994159,27,0.0966408,27,0.1
28,0.0994154,28,0.0966408,28,0.1
29,0.0994515,29,0.0966408,29,0.1
30,0.0995079,30,0.0966408,30,0.1
31,0.0995707,31,0.0966408,31,0.1
32,0.0996297,32,0.0966408,32,0.1
33,0.0996791,33,0.0966408,33,0.1
34,0.0997166,34,0.0966408,34,0.1
35,0.0997428,35,0.0966408,35,0.1
36,0.0997598,36,0.0966408,36,0.1
37,0.0997705,37,0.0966408,37,0.1
38,0.0997775,38,0.0966408,38,0.1
39,0.0997833,39,0.0966408,39,0.1
40,0.0997892,40,0.0966408,40,0.1
41,0.0997962,41,0.0966408,41,0.1
42,0.0998044,42,0.0966408,42,0.1
43,0.0998137,43,0.0966408,43,0.1
44,0.0998237,44,0.0966408,44,0.1
45,0.0998339,45,0.0966408,45,0.1
46,0.0998439,46,0.0966408,46,0.1
47,0.0998535,47,0.0966408,47,0.1
48,0.0998624,48,0.0966408,48,0.1
49,0.0998706,49,0.0966408,49,0.1
50,0.099878,50,0.0966408,50,0.1
51,0.0998848,51,0.0966408,51,0.1
52,0.099891,52,0.0966408,52,0.1
53,0.0998968,53,0.0966408,53,0.1
54,0.0999022,54,0.0966408,54,0.1
55,0.0999073,55,0.0966408,55,0.1
56,0.0999122,56,0.0966408,56,0.1
57,0.0999169,57,0.0966408,57,0.1
58,0.0999214,58,0.0966408,58,0.1
59,0.0999256,59,0.0966408,59,0.1
60,0.0999297,60,0.0966408,60,0.1
61,0.0999335,61,0.0966408,61,0.1
62,0.0999372,62,0.0966408,62,0.1
63,0.0654919,63,0.0966408,63,-0.1
64,0.0117388,64,0.079767,64,-0.1
65,-0.0443418,65,0.0291456,65,-0.1
66,-0.0910525,66,-0.0230097,66,-0.1
67,-0.122678,67,-0.079767,67,-0.1
68,-0.138218,68,-0.118117,68,-0.1
69,-0.140236,69,-0.139592,69,-0.1
70,-0.133046,70,-0.145728,70,-0.1
71,-0.121271,71,-0.141126,71,-0.1
72,-0.10882,72,-0.128854,72,-0.1
73,-0.0984057,73,-0.115049,73,-0.1
74,-0.0913969,74,-0.102777,74,-0.1
75,-0.0880184,75,-0.0935728,75,-0.1
76,-0.0877094,76,-0.0889709,76,-0.1
