Time - Sim theta,Amplitude - Sim theta,Time - encoder theta,Amplitude - encoder theta,Time - reference input,Amplitude - reference input
0,0,0,0,0,0
1,0.000264623,1,0,1,0.004
2,0.000952068,2,0,2,0.008
3,0.00213405,3,0,3,0.012
4,0.00382265,4,0,4,0.016
5,0.00599132,5,0.00153398,5,0.02
6,0.0085878,6,0.00153398,6,0.024
7,0.0115533,7,0.00306796,7,0.028
8,0.0148224,8,0.00306796,8,0.032
9,0.0183366,9,0.00613592,9,0.036
10,0.0220357,10,0.0076699,10,0.04
11,0.0258727,11,0.0107379,11,0.044
12,0.0298052,12,0.0138058,12,0.048
13,0.0338004,13,0.0153398,13,0.052
14,0.0378361,14,0.0199418,14,0.056
15,0.0418897,15,0.0230097,15,0.06
16,0.0459488,16,0.0260777,16,0.064
17,0.0500056,17,0.0291456,17,0.068
18,0.0540551,18,0.0322136,18,0.072
19,0.0580949,19,0.0368155,19,0.076
20,0.0621212,20,0.0398835,20,0.08
21,0.0661358,21,0.0444854,21,0.084
22,0.0701376,22,0.0490874,22,0.088
23,0.0741271,23,0.0536893,23,0.092
24,0.0781056,24,0.0582913,24,0.096
25,0.082075,25,0.0613592,25,0.1
26,0.0860403,26,0.0659612,26,0.104
27,0.0900019,27,0.0705631,27,0.108
28,0.0939606,28,0.0751651,28,0.112
29,0.0979171,29,0.078233,29,0.116
30,0.101875,30,0.0843689,30,0.12
31,0.105832,31,0.0874369,31,0.124
32,0.109791,32,0.0920388,32,0.128
33,0.113751,33,0.0966408,33,0.132
34,0.117713,34,0.0997088,34,0.136
35,0.121678,35,0.104311,35,0.14
36,0.125647,36,0.107379,36,0.144
37,0.12962,37,0.111981,37,0.148
38,0.133596,38,0.116583,38,0.152
39,0.137573,39,0.121184,39,0.156
40,0.141551,40,0.124252,40,0.16
41,0.145531,41,0.128854,41,0.164
42,0.149512,42,0.131922,42,0.168
43,0.153497,43,0.136524,43,0.172
44,0.157483,44,0.141126,44,0.176
45,0.161469,45,0.144194,45,0.18
46,0.165458,46,0.148796,46,0.184
47,0.169447,47,0.151864,47,0.188
48,0.173438,48,0.156466,48,0.192
49,0.17743,49,0.161068,49,0.196
50,0.181421,50,0.164136,50,0.2
51,0.185413,51,0.168738,51,0.204
52,0.189406,52,0.17334,52,0.208
53,0.193397,53,0.177942,53,0.212
54,0.197387,54,0.18101,54,0.216
55,0.201379,55,0.185612,55,0.22
56,0.20537,56,0.18868,56,0.224
57,0.209364,57,0.193282,57,0.228
58,0.213358,58,0.19635,58,0.232
59,0.217354,59,0.199418,59,0.236
60,0.221354,60,0.204019,60,0.24
61,0.225354,61,0.208621,61,0.244
62,0.229353,62,0.211689,62,0.248
63,0.233353,63,0.216291,63,0.252
64,0.237353,64,0.220893,64,0.256
65,0.24135,65,0.223961,65,0.26
66,0.245348,66,0.228563,66,0.264
67,0.249345,67,0.233165,67,0.268
68,0.253341,68,0.236233,68,0.272
69,0.257337,69,0.240835,69,0.276
70,0.261334,70,0.245437,70,0.28
71,0.265328,71,0.248505,71,0.284
72,0.269325,72,0.253107,72,0.288
73,0.273321,73,0.256175,73,0.292
74,0.277318,74,0.259243,74,0.296
75,0.281319,75,0.263845,75,0.3
76,0.285321,76,0.268447,76,0.304
77,0.289321,77,0.271515,77,0.308
78,0.293322,78,0.276117,78,0.312
79,0.297323,79,0.279185,79,0.316
80,0.301325,80,0.283786,80,0.32
81,0.305325,81,0.288388,81,0.324
82,0.309324,82,0.291456,82,0.328
83,0.313324,83,0.296058,83,0.332
84,0.317323,84,0.299126,84,0.336
85,0.321323,85,0.303728,85,0.34
86,0.325323,86,0.306796,86,0.344
87,0.329324,87,0.311398,87,0.348
88,0.333324,88,0.316,88,0.352
89,0.337323,89,0.319068,89,0.356
90,0.341322,90,0.32367,90,0.36
91,0.345321,91,0.328272,91,0.364
92,0.349318,92,0.332874,92,0.368
93,0.353313,93,0.335942,93,0.372
94,0.357309,94,0.340544,94,0.376
95,0.361305,95,0.345146,95,0.38
96,0.365299,96,0.348214,96,0.384
97,0.369296,97,0.352816,97,0.388
98,0.373292,98,0.357418,98,0.392
99,0.377287,99,0.360485,99,0.396
100,0.381284,100,0.365087,100,0.4
101,0.385282,101,0.368155,101,0.404
102,0.389281,102,0.372757,102,0.408
103,0.393281,103,0.375825,103,0.412
104,0.397282,104,0.380427,104,0.416
105,0.401284,105,0.383495,105,0.42
106,0.405287,106,0.388097,106,0.424
107,0.40929,107,0.391165,107,0.428
