Time - Plot 0,Amplitude - Plot 0,Time - vactual,Amplitude - vactual
0,0,0,0
1,0.0324157,1,0.0333844
2,0.0635926,2,0.0665819
3,0.091227,3,0.0995645
4,0.11475,4,0.132326
5,0.134077,5,0.164877
6,0.149435,6,0.197234
7,0.161234,7,0.213591
8,0.1695,8,0.245659
9,0.175762,9,0.261773
10,0.179526,10,0.27781
11,0.181771,11,0.293788
12,0.182898,12,0.293893
13,0.182761,13,0.293992
14,0.182157,14,0.309921
15,0.181771,15,0.309998
16,0.180749,16,0.310083
17,0.179713,17,0.310177
18,0.178738,18,0.31028
19,0.177866,19,0.310389
20,0.177115,20,0.310503
21,0.176488,21,0.310618
22,0.175978,22,0.310731
23,0.175572,23,0.310839
24,0.175253,24,0.31094
25,0.175005,25,0.31103
26,0.17481,26,0.311105
27,0.174655,27,0.311165
28,0.174526,28,0.311205
29,0.174413,29,0.311224
30,0.174307,30,0.311219
31,0.174203,31,0.311188
32,0.174093,32,0.311129
33,0.173977,33,0.31104
34,0.17385,34,0.310919
35,0.173711,35,0.310764
36,0.17356,36,0.310574
37,0.173396,37,0.310347
38,0.17322,38,0.310081
39,0.173031,39,0.309775
40,0.17283,40,0.309426
41,0.172617,41,0.309034
42,0.172393,42,0.308596
43,0.172159,43,0.308112
44,0.171914,44,0.30758
45,0.17166,45,0.306998
46,0.171396,46,0.306365
47,0.171123,47,0.289851
48,0.170369,48,0.289141
49,0.170139,49,0.288375
50,0.169915,50,0.28755
51,0.169686,51,0.286666
52,0.169445,52,0.28572
53,0.169189,53,0.284712
54,0.168915,54,0.299468
55,0.169095,55,0.2983
56,0.168725,56,0.297067
57,0.168324,57,0.295767
58,0.167903,58,0.294401
59,0.167473,59,0.292965
60,0.167037,60,0.291461
61,0.166599,61,0.289885
62,0.166161,62,0.288238
63,0.165724,63,0.286517
64,0.165287,64,0.30055
65,0.165323,65,0.298649
66,0.164825,66,0.296672
67,0.164311,67,0.294617
68,0.163791,68,0.292485
69,0.163271,69,0.306101
70,0.163227,70,0.303779
71,0.162654,71,0.301376
72,0.162072,72,0.298891
73,0.161491,73,0.296324
74,0.160916,74,0.293673
75,0.160351,75,0.290936
76,0.159795,76,0.288113
77,0.159249,77,0.285202
78,0.15871,78,0.282202
79,0.158176,79,0.279112
80,0.157646,80,0.275929
81,0.157118,81,0.272654
82,0.156589,82,0.269283
83,0.156058,83,0.281646
84,0.155997,84,0.278053
85,0.155398,85,0.274362
86,0.15478,86,0.270574
87,0.154153,87,0.266687
88,0.153523,88,0.278527
89,0.153367,89,0.274409
90,0.152681,90,0.270189
91,0.151984,91,0.265866
