Time - Plot 0,Amplitude - Plot 0,Time - vactual,Amplitude - vactual
0,0,0,0
1,0.0825465,1,0.0850132
2,0.161942,2,0.169554
3,0.232322,3,0.253554
4,0.292242,4,0.321174
5,0.341015,5,0.388299
6,0.379755,6,0.454977
7,0.409523,7,0.505439
8,0.43112,8,0.539775
9,0.445931,9,0.573901
10,0.455773,10,0.607871
11,0.46181,11,0.610072
12,0.464089,12,0.628084
13,0.464967,13,0.630248
14,0.46412,14,0.632445
15,0.462575,15,0.634686
16,0.460712,16,0.636981
17,0.458791,17,0.623507
18,0.456507,18,0.62595
19,0.454963,19,0.612624
20,0.453216,20,0.615212
21,0.452273,21,0.617851
22,0.451596,22,0.60471
23,0.450673,23,0.607471
24,0.450468,24,0.61027
25,0.450423,25,0.597276
26,0.45002,26,0.600171
27,0.450227,27,0.603094
28,0.450495,28,0.590213
29,0.450319,29,0.593213
30,0.450682,30,0.580403
31,0.450576,31,0.583469
32,0.450987,32,0.586549
33,0.451383,33,0.589641
34,0.451748,34,0.592746
35,0.452074,35,0.580033
36,0.451884,36,0.583187
37,0.452184,37,0.586351
38,0.45246,38,0.589521
39,0.452703,39,0.592699
40,0.452914,40,0.595883
41,0.453091,41,0.583244
42,0.452765,42,0.58647
43,0.452946,43,0.589701
44,0.453118,44,0.592935
45,0.453274,45,0.580345
46,0.452938,46,0.583616
47,0.453116,47,0.586889
48,0.453289,48,0.590164
49,0.453447,49,0.593439
50,0.453587,50,0.580888
51,0.453233,51,0.584196
52,0.453392,52,0.587503
53,0.453545,53,0.590811
54,0.453685,54,0.594117
55,0.453808,55,0.581594
56,0.453437,56,0.584929
57,0.453581,57,0.588262
58,0.453721,58,0.591593
59,0.453849,59,0.579093
60,0.453487,60,0.58245
61,0.45364,61,0.585804
62,0.453788,62,0.573326
63,0.370904,63,0.49169
64,0.209139,64,0.309681
65,0.0590611,65,0.160367
66,-0.0705521,66,0.027938
67,-0.178626,67,-0.0876513
68,-0.265615,68,-0.186504
69,-0.333231,69,-0.268755
70,-0.383867,70,-0.334551
71,-0.420191,71,-0.399866
72,-0.445332,72,-0.44898
73,-0.461235,73,-0.482017
74,-0.470078,74,-0.514915
75,-0.474197,75,-0.531908
76,-0.474597,76,-0.533075
77,-0.47249,77,-0.550138
78,-0.469766,78,-0.551434
79,-0.466071,79,-0.552836
80,-0.462361,80,-0.570179
81,-0.459398,81,-0.571779
82,-0.456337,82,-0.573492
83,-0.453769,83,-0.575315
84,-0.451713,84,-0.577242
85,-0.450148,85,-0.579266
86,-0.449024,86,-0.581379
87,-0.448279,87,-0.583575
88,-0.447845,88,-0.585845
89,-0.447661,89,-0.588185
90,-0.447665,90,-0.590588
91,-0.447808,91,-0.593049
92,-0.448047,92,-0.579735
93,-0.447874,93,-0.582328
94,-0.448269,94,-0.569137
95,-0.448219,95,-0.587673
