Time - Theta_sim,Amplitude - Theta_sim,Time - Theta_Motor,Amplitude - Theta_Motor,Time - Input V,Amplitude - Input V
0,0,0,0,0,0
1,0.000643469,1,0,1,0.100362
2,0.00233316,2,0,2,0.19971
3,0.00531228,3,0,3,0.297042
4,0.00971629,4,0,4,0.391374
5,0.015606,5,0,5,0.481754
6,0.0229889,6,0.00306796,6,0.567269
7,0.031833,7,0.0076699,7,0.647056
8,0.0420762,8,0.0122718,8,0.720309
9,0.0536321,9,0.0199418,9,0.786288
10,0.0663951,10,0.0291456,10,0.844328
11,0.0802432,11,0.0383495,11,0.893841
12,0.095041,12,0.0490874,12,0.934329
13,0.110642,13,0.0628932,13,0.965382
14,0.12689,14,0.0751651,14,0.986686
15,0.143623,15,0.0905049,15,0.998027
16,0.160672,16,0.102777,16,0.999289
17,0.177866,17,0.118117,17,0.990461
18,0.19503,18,0.133456,18,0.971632
19,0.211993,19,0.148796,19,0.942991
20,0.228583,20,0.164136,20,0.904827
21,0.244632,21,0.177942,21,0.857527
22,0.259978,22,0.194816,22,0.801567
23,0.274467,23,0.208621,23,0.737513
24,0.287952,24,0.222427,24,0.666012
25,0.300297,25,0.234699,25,0.587785
26,0.311378,26,0.246971,26,0.503623
27,0.321082,27,0.256175,27,0.414376
28,0.329311,28,0.266913,28,0.320944
29,0.335983,29,0.273049,29,0.224271
30,0.34103,30,0.280718,30,0.125333
31,0.344401,31,0.283786,31,0.0251301
32,0.346062,32,0.288388,32,-0.0753268
33,0.345996,33,0.288388,33,-0.175023
34,0.344204,34,0.289922,34,-0.272952
35,0.340704,35,0.289922,35,-0.368125
36,0.335532,36,0.289922,36,-0.45958
37,0.328739,37,0.286854,37,-0.546394
38,0.320394,38,0.282252,38,-0.627691
39,0.310582,39,0.276117,39,-0.70265
40,0.299401,40,0.268447,40,-0.770513
41,0.286964,41,0.259243,41,-0.830596
42,0.273398,42,0.250039,42,-0.882291
43,0.258839,43,0.237767,43,-0.925077
44,0.243434,44,0.227029,44,-0.958522
45,0.227338,45,0.213223,45,-0.982287
46,0.210714,46,0.199418,46,-0.996134
47,0.193731,47,0.184078,47,-0.999921
48,0.176559,48,0.168738,48,-0.993611
49,0.159371,49,0.153398,49,-0.977268
50,0.142343,50,0.138058,50,-0.951057
51,0.125644,51,0.122718,51,-0.915241
52,0.109445,52,0.108913,52,-0.870184
53,0.0939082,53,0.0935728,53,-0.816339
54,0.0791909,54,0.079767,54,-0.754251
55,0.0654418,55,0.0644272,55,-0.684547
56,0.0527996,56,0.0536893,56,-0.60793
57,0.041392,57,0.0398835,57,-0.525175
58,0.0313342,58,0.0306796,58,-0.437116
59,0.0227277,59,0.0199418,59,-0.344643
60,0.0156596,60,0.0122718,60,-0.24869
61,0.010201,61,0.00460194,61,-0.150226
62,0.00640728,62,0,62,-0.0502443
63,0.00431658,63,-0.00306796,63,0.0502443
