Time - Theta_sim,Amplitude - Theta_sim,Time - Theta_Motor,Amplitude - Theta_Motor,Time - Input V,Amplitude - Input V
0,0.0064115,0,0,0,1
1,0.0169007,1,0,1,1
2,0.0299834,2,0.00306796,2,1
3,0.0447154,3,0.0107379,3,1
4,0.0604965,4,0.0214757,4,1
5,0.0769448,5,0.0337476,5,1
6,0.0938174,6,0.0475534,6,1
7,0.11096,7,0.0613592,7,1
8,0.128274,8,0.076699,8,1
9,0.145697,9,0.0920388,9,1
10,0.16319,10,0.105845,10,1
11,0.180727,11,0.122718,11,1
12,0.198292,12,0.138058,12,1
13,0.215875,13,0.154932,13,1
14,0.233469,14,0.170272,14,1
15,0.25107,15,0.185612,15,1
16,0.268676,16,0.202485,16,1
17,0.286285,17,0.217825,17,1
18,0.303896,18,0.234699,18,1
19,0.321508,19,0.248505,19,1
20,0.33912,20,0.266913,20,1
21,0.356734,21,0.282252,21,1
22,0.374347,22,0.297592,22,1
23,0.391961,23,0.312932,23,1
24,0.409575,24,0.329806,24,1
25,0.427188,25,0.345146,25,1
26,0.444802,26,0.360485,26,1
27,0.462416,27,0.377359,27,1
28,0.48003,28,0.392699,28,1
29,0.497644,29,0.409573,29,1
30,0.515258,30,0.424913,30,1
31,0.532872,31,0.441786,31,1
32,0.550486,32,0.457126,32,1
33,0.5681,33,0.474,33,1
34,0.585714,34,0.48934,34,1
35,0.603328,35,0.506214,35,1
36,0.620942,36,0.523087,36,1
37,0.638556,37,0.538427,37,1
38,0.65617,38,0.553767,38,1
39,0.673784,39,0.572175,39,1
40,0.691398,40,0.587515,40,1
41,0.709012,41,0.602854,41,1
42,0.726626,42,0.619728,42,1
43,0.74424,43,0.635068,43,1
44,0.761854,44,0.651942,44,1
45,0.779468,45,0.667282,45,1
46,0.797082,46,0.685689,46,1
47,0.814696,47,0.701029,47,1
48,0.83231,48,0.717903,48,1
49,0.849924,49,0.733243,49,1
50,0.867538,50,0.750117,50,1
51,0.885152,51,0.76699,51,1
52,0.902766,52,0.78233,52,1
53,0.92038,53,0.79767,53,1
54,0.937994,54,0.814544,54,1
55,0.955608,55,0.832952,55,1
56,0.973222,56,0.846757,56,1
57,0.990837,57,0.865165,57,1
58,1.00845,58,0.880505,58,1
59,1.02606,59,0.895845,59,1
60,1.04368,60,0.912719,60,1
61,1.06129,61,0.928058,61,1
62,1.07891,62,0.944932,62,1
63,1.09652,63,0.961806,63,1
64,1.11413,64,0.977146,64,1
65,1.13175,65,0.99402,65,1
66,1.14936,66,1.01089,66,1
67,1.16698,67,1.02623,67,1
68,1.18459,68,1.04157,68,1
69,1.2022,69,1.05845,69,1
70,1.21982,70,1.07379,70,1
71,1.23743,71,1.09219,71,1
72,1.25505,72,1.10753,72,1
73,1.27266,73,1.12441,73,1
74,1.29027,74,1.13821,74,1
75,1.30789,75,1.15662,75,1
76,1.3255,76,1.17196,76,1
77,1.34312,77,1.18884,77,1
78,1.36073,78,1.20417,78,1
79,1.37834,79,1.21951,79,1
80,1.39596,80,1.23639,80,1
81,1.41357,81,1.25173,81,1
82,1.43119,82,1.2686,82,1
83,1.4488,83,1.28394,83,1
84,1.46641,84,1.30082,84,1
85,1.48403,85,1.31769,85,1
86,1.50164,86,1.33303,86,1
87,1.51926,87,1.3499,87,1
88,1.53687,88,1.36678,88,1
89,1.55448,89,1.38212,89,1
90,1.5721,90,1.40052,90,1
91,1.58971,91,1.41586,91,1
92,1.60733,92,1.4312,92,1
93,1.62494,93,1.44808,93,1
94,1.64255,94,1.46342,94,1
95,1.66017,95,1.48029,95,1
96,1.67778,96,1.49563,96,1
97,1.6954,97,1.51251,97,1
98,1.71301,98,1.52784,98,1
99,1.73062,99,1.54472,99,1
100,1.74824,100,1.56159,100,1
101,1.76585,101,1.57693,101,1
102,1.78347,102,1.59227,102,1
103,1.80108,103,1.60915,103,1
104,1.8187,104,1.62449,104,1
105,1.83631,105,1.63983,105,1
106,1.85392,106,1.65823,106,1
107,1.87154,107,1.67357,107,1
108,1.88915,108,1.69198,108,1
109,1.90677,109,1.70732,109,1
110,1.92438,110,1.72419,110,1
111,1.94199,111,1.73953,111,1
112,1.95961,112,1.75641,112,1
113,1.97722,113,1.77175,113,1
114,1.99484,114,1.78862,114,1
115,2.01245,115,1.8055,115,1
116,2.03006,116,1.82237,116,1
117,2.04768,117,1.83771,117,1
118,2.06529,118,1.85458,118,1
119,2.08291,119,1.87146,119,1
120,2.10052,120,1.88833,120,1
121,2.11813,121,1.90367,121,1
122,2.13575,122,1.92054,122,1
123,2.15336,123,1.93742,123,1
124,2.17098,124,1.95429,124,1
125,2.17577,125,1.9681,125,-1
126,2.1724,126,1.98344,126,-1
127,2.16385,127,1.98344,127,-1
128,2.152,128,1.97884,128,-1
129,2.13805,129,1.96963,129,-1
130,2.12277,130,1.95889,130,-1
131,2.10664,131,1.94509,131,-1
132,2.08997,132,1.93128,132,-1
133,2.07295,133,1.91594,133,-1
134,2.05572,134,1.9006,134,-1
135,2.03835,135,1.8868,135,-1
136,2.02089,136,1.86839,136,-1
137,2.00337,137,1.85305,137,-1
138,1.98582,138,1.83618,138,-1
139,1.96825,139,1.82084,139,-1
140,1.95066,140,1.80396,140,-1
141,1.93306,141,1.78862,141,-1
142,1.91546,142,1.77328,142,-1
143,1.89785,143,1.75487,143,-1
144,1.88024,144,1.74107,144,-1
145,1.86263,145,1.72266,145,-1
146,1.84502,146,1.70732,146,-1
147,1.8274,147,1.69198,147,-1
148,1.80979,148,1.67511,148,-1
149,1.79218,149,1.65823,149,-1
150,1.77456,150,1.64289,150,-1
151,1.75695,151,1.62602,151,-1
152,1.73934,152,1.61068,152,-1
153,1.72172,153,1.59534,153,-1
154,1.70411,154,1.57847,154,-1
155,1.68649,155,1.56159,155,-1
156,1.66888,156,1.54472,156,-1
157,1.65127,157,1.52938,157,-1
158,1.63365,158,1.51251,158,-1
159,1.61604,159,1.49717,159,-1
160,1.59842,160,1.48029,160,-1
161,1.58081,161,1.46495,161,-1
162,1.5632,162,1.44808,162,-1
163,1.54558,163,1.43274,163,-1
164,1.52797,164,1.41586,164,-1
165,1.51035,165,1.39899,165,-1
166,1.49274,166,1.38365,166,-1
167,1.47513,167,1.36678,167,-1
168,1.45751,168,1.3499,168,-1
169,1.4399,169,1.33456,169,-1
170,1.42228,170,1.31769,170,-1
171,1.40467,171,1.30235,171,-1
172,1.38705,172,1.28548,172,-1
173,1.36944,173,1.27014,173,-1
174,1.35183,174,1.25326,174,-1
175,1.33421,175,1.23792,175,-1
176,1.3166,176,1.22105,176,-1
177,1.29898,177,1.20571,177,-1
178,1.28137,178,1.19037,178,-1
179,1.26376,179,1.1735,179,-1
180,1.24614,180,1.15662,180,-1
181,1.22853,181,1.13975,181,-1
182,1.21091,182,1.12441,182,-1
183,1.1933,183,1.10753,183,-1
184,1.17569,184,1.09219,184,-1
185,1.15807,185,1.07685,185,-1
186,1.14046,186,1.05845,186,-1
187,1.12284,187,1.04311,187,-1
188,1.10523,188,1.02777,188,-1
189,1.08762,189,1.01243,189,-1
190,1.07,190,0.99402,190,-1
191,1.05239,191,0.977146,191,-1
192,1.03477,192,0.961806,192,-1
193,1.01716,193,0.944932,193,-1
194,0.999547,194,0.929592,194,-1
195,0.981933,195,0.914253,195,-1
196,0.964319,196,0.895845,196,-1
197,0.946705,197,0.880505,197,-1
198,0.929091,198,0.865165,198,-1
199,0.911477,199,0.846757,199,-1
200,0.893863,200,0.831418,200,-1
201,0.876249,201,0.816078,201,-1
202,0.858635,202,0.799204,202,-1
203,0.841021,203,0.783864,203,-1
204,0.823407,204,0.76699,204,-1
205,0.805793,205,0.750117,205,-1
206,0.788179,206,0.734777,206,-1
207,0.770565,207,0.719437,207,-1
