Time - Theta_sim,Amplitude - Theta_sim,Time - Theta_Motor,Amplitude - Theta_Motor,Time - Input V,Amplitude - Input V
0,0,0,0,0,0
1,0.000410336,1,0,1,0.064
2,0.00149198,2,0,2,0.128
3,0.00341092,3,0,3,0.192
4,0.0062727,4,0,4,0.256
5,0.0101445,5,0,5,0.32
6,0.0150689,6,0,6,0.384
7,0.0210733,7,0,7,0.448
8,0.0281747,8,0.00460194,8,0.512
9,0.0363842,9,0.00920388,9,0.576
10,0.0457088,10,0.0138058,10,0.64
11,0.056153,11,0.0199418,11,0.704
12,0.0677195,12,0.0276117,12,0.768
13,0.0804102,13,0.0352816,13,0.832
14,0.0942262,14,0.0460194,14,0.896
15,0.109168,15,0.0567573,15,0.96
16,0.124929,16,0.0674952,16,0.976
17,0.1408,17,0.082835,17,0.912
18,0.156331,18,0.0951068,18,0.848
19,0.171235,19,0.108913,19,0.784
20,0.185331,20,0.122718,20,0.72
21,0.198501,21,0.136524,21,0.656
22,0.210674,22,0.148796,22,0.592
23,0.2218,23,0.158,23,0.528
24,0.231852,24,0.168738,24,0.464
25,0.240809,25,0.177942,25,0.4
26,0.24866,26,0.185612,26,0.336
27,0.255398,27,0.193282,27,0.272
28,0.261016,28,0.199418,28,0.208
29,0.265513,29,0.204019,29,0.144
30,0.268885,30,0.207087,30,0.08
31,0.271133,31,0.210155,31,0.016
32,0.272255,32,0.210155,32,-0.048
33,0.27225,33,0.210155,33,-0.112
34,0.271119,34,0.210155,34,-0.176
35,0.268861,35,0.210155,35,-0.24
36,0.265475,36,0.210155,36,-0.304
37,0.260963,37,0.210155,37,-0.368
38,0.255323,38,0.208621,38,-0.432
39,0.248556,39,0.205553,39,-0.496
40,0.240662,40,0.200951,40,-0.56
41,0.23164,41,0.194816,41,-0.624
42,0.221491,42,0.18868,42,-0.688
43,0.210215,43,0.18101,43,-0.752
44,0.197812,44,0.171806,44,-0.816
45,0.184281,45,0.162602,45,-0.88
46,0.169623,46,0.151864,46,-0.944
47,0.153941,47,0.139592,47,-0.992
48,0.138017,48,0.12732,48,-0.928
49,0.122349,49,0.111981,49,-0.864
50,0.107256,50,0.0981748,50,-0.8
51,0.0929374,51,0.0859029,51,-0.736
52,0.0795224,52,0.0720971,52,-0.672
53,0.0670923,53,0.0598253,53,-0.608
54,0.0556989,54,0.0490874,54,-0.544
55,0.0453751,55,0.0383495,55,-0.48
56,0.036142,56,0.0291456,56,-0.416
57,0.028013,57,0.0199418,57,-0.352
58,0.0209963,58,0.0138058,58,-0.288
59,0.0150976,59,0.0076699,59,-0.224
60,0.0103202,60,0.00153398,60,-0.16
61,0.00666621,61,-0.00153398,61,-0.096
62,0.00413712,62,-0.00460194,62,-0.032
63,0.00273379,63,-0.00613592,63,0.032
64,0.00245678,64,-0.0076699,64,0.096
65,0.00330644,65,-0.0076699,65,0.16
66,0.005283,66,-0.0076699,66,0.224
67,0.0083866,67,-0.0076699,67,0.288
68,0.0126173,68,-0.0076699,68,0.352
69,0.0179753,69,-0.00613592,69,0.416
70,0.0244604,70,-0.00306796,70,0.48
71,0.0320729,71,0.00153398,71,0.544
72,0.0408126,72,0.00613592,72,0.608
73,0.0506795,73,0.0122718,73,0.672
74,0.0616738,74,0.0199418,74,0.736
75,0.0737953,75,0.0291456,75,0.8
